date,city,area,hour,season,temperature,day_of_week,is_weekend,load_shedding_hours
2022-01-01,Islamabad,Bani Gala,12,Winter,14.0,Saturday,1,0.68
2022-01-01,Islamabad,Bani Gala,15,Winter,9.9,Saturday,1,0.88
2022-01-01,Karachi,Gulshan-e-Iqbal,1,Winter,14.3,Saturday,1,0.58
2022-01-01,Karachi,SITE Area,19,Winter,16.7,Saturday,1,5.37
2022-01-01,Lahore,Township,3,Winter,11.4,Saturday,1,1.87
2022-01-01,Lahore,Johar Town,12,Winter,16.3,Saturday,1,2.07
2022-01-01,Quetta,Nawa Killi,11,Winter,10.0,Saturday,1,5.38
2022-01-02,Karachi,Clifton,14,Winter,16.3,Sunday,1,1.29
2022-01-02,Karachi,Lyari,18,Winter,17.6,Sunday,1,5.12
2022-01-02,Peshawar,Warsak Road,11,Winter,13.5,Sunday,1,5.02
2022-01-02,Peshawar,Karkhano Market,20,Winter,11.7,Sunday,1,8.44
2022-01-02,Quetta,Satellite Town Quetta,0,Winter,10.1,Sunday,1,1.17
2022-01-02,Quetta,Prince Road,18,Winter,7.5,Sunday,1,6.4
2022-01-03,Islamabad,G-13,12,Winter,12.0,Monday,0,2.28
2022-01-03,Islamabad,E-11,18,Winter,13.6,Monday,0,0.71
2022-01-03,Karachi,Gulistan-e-Johar,2,Winter,19.0,Monday,0,0.94
2022-01-03,Lahore,Model Town,2,Winter,11.8,Monday,0,0.19
2022-01-03,Peshawar,Hayatabad,2,Winter,15.7,Monday,0,0.83
2022-01-03,Peshawar,Karkhano Market,14,Winter,9.0,Monday,0,5.83
2022-01-03,Peshawar,Dalazak Road,22,Winter,10.5,Monday,0,9.99
2022-01-04,Islamabad,G-11,20,Winter,12.4,Tuesday,0,2.45
2022-01-04,Karachi,Gulshan-e-Iqbal,16,Winter,11.6,Tuesday,0,2.54
2022-01-04,Peshawar,Dalazak Road,3,Winter,14.1,Tuesday,0,2.41
2022-01-04,Peshawar,Peshawar Saddar,20,Winter,12.1,Tuesday,0,6.46
2022-01-04,Quetta,Hazara Town,14,Winter,4.5,Tuesday,0,7.08
2022-01-05,Islamabad,DHA Islamabad,21,Winter,13.0,Wednesday,0,1.28
2022-01-05,Karachi,Lyari,6,Winter,13.6,Wednesday,0,5.25
2022-01-05,Lahore,Wapda Town,5,Winter,18.4,Wednesday,0,1.55
2022-01-05,Quetta,Sariab Road,1,Winter,9.6,Wednesday,0,3.0
2022-01-05,Quetta,Nawa Killi,13,Winter,7.3,Wednesday,0,6.56
2022-01-05,Quetta,Satellite Town Quetta,17,Winter,3.6,Wednesday,0,4.49
2022-01-05,Quetta,Hazara Town,20,Winter,7.0,Wednesday,0,10.25
2022-01-06,Islamabad,G-13,6,Winter,15.0,Thursday,0,2.65
2022-01-06,Islamabad,Blue Area,18,Winter,16.0,Thursday,0,1.42
2022-01-06,Karachi,Korangi,1,Winter,17.4,Thursday,0,1.64
2022-01-06,Karachi,Clifton,8,Winter,13.9,Thursday,0,1.97
2022-01-06,Peshawar,Peshawar Cantt,10,Winter,8.2,Thursday,0,2.2
2022-01-06,Peshawar,Peshawar Saddar,11,Winter,8.7,Thursday,0,3.69
2022-01-06,Peshawar,Hayatabad,13,Winter,17.6,Thursday,0,1.99
2022-01-06,Quetta,Prince Road,17,Winter,5.9,Thursday,0,4.38
2022-01-06,Quetta,Quetta Cantt,18,Winter,6.6,Thursday,0,4.16
2022-01-07,Lahore,Johar Town,18,Winter,14.5,Friday,0,5.05
